model,class,reversibility,noise,interaction,size,shelf_width,plateau,sigma_crit,passes,failure_mode,cond_reversible,cond_nonintegrable,cond_weakly_perturbed
Floquet Ising,quantum,1.00,0.00,0.50,12,1.8228,1.0000,0.40,1,none,1,0,1
Floquet Ising,quantum,1.00,0.00,0.50,12,1.8228,1.0000,0.40,1,none,1,0,1
Floquet Ising,quantum,1.00,0.00,0.50,12,1.7848,1.0000,0.40,1,none,1,0,1
Floquet Ising,quantum,0.80,0.00,0.50,12,0.0759,0.8424,0.20,0,resolution_limited,1,0,1
Floquet Ising,quantum,0.80,0.00,0.50,12,0.1899,0.8406,0.20,0,resolution_limited,1,0,1
Floquet Ising,quantum,0.80,0.00,0.50,12,0.1139,0.8382,0.20,0,resolution_limited,1,0,1
Floquet Ising,quantum,0.50,0.00,0.50,12,0.0000,0.3848,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.50,0.00,0.50,12,0.0000,0.3930,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.50,0.00,0.50,12,0.0000,0.3914,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.20,0.00,0.50,12,0.0000,0.3848,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.20,0.00,0.50,12,0.0000,0.3930,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.20,0.00,0.50,12,0.0000,0.3914,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.00,0.00,0.50,12,0.0000,0.3848,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.00,0.00,0.50,12,0.0000,0.3930,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,0.00,0.00,0.50,12,0.0000,0.3914,1.20,0,irreversibility_dominated,0,1,1
Floquet Ising,quantum,1.00,0.30,0.50,12,0.0000,0.7498,0.00,0,irreversibility_dominated,1,0,1
Floquet Ising,quantum,1.00,0.30,0.50,12,0.0000,0.7546,0.00,0,irreversibility_dominated,1,0,1
Floquet Ising,quantum,1.00,0.30,0.50,12,0.0000,0.7461,0.00,0,irreversibility_dominated,1,0,1
Floquet Ising,quantum,1.00,0.60,0.50,12,0.0000,0.2928,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,0.60,0.50,12,0.0000,0.2978,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,0.60,0.50,12,0.0000,0.2891,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,1.00,0.50,12,0.0000,0.0637,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,1.00,0.50,12,0.0000,0.0688,0.00,0,irreversibility_dominated,1,1,0
Floquet Ising,quantum,1.00,1.00,0.50,12,0.0000,0.0686,0.00,0,irreversibility_dominated,1,1,0
Floquet XXZ,quantum,1.00,0.00,0.50,12,2.1266,0.9829,0.40,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.00,0.50,12,2.0506,0.9891,0.40,1,none,1,0,1
Floquet XXZ,quantum,1.00,0.00,0.50,12,2.0886,0.9784,0.40,1,none,1,0,1
Floquet XXZ,quantum,0.80,0.00,0.50,12,0.0000,0.7969,1.20,0,irreversibility_dominated,1,0,1
Floquet XXZ,quantum,0.80,0.00,0.50,12,0.0000,0.8007,1.20,0,irreversibility_dominated,1,0,1
Floquet XXZ,quantum,0.80,0.00,0.50,12,0.0000,0.7921,1.20,0,irreversibility_dominated,1,0,1
Floquet XXZ,quantum,0.50,0.00,0.50,12,0.0000,0.2988,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.50,0.00,0.50,12,0.0000,0.3168,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.50,0.00,0.50,12,0.0000,0.3109,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.20,0.00,0.50,12,0.0000,0.2988,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.20,0.00,0.50,12,0.0000,0.3168,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.20,0.00,0.50,12,0.0000,0.3109,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.00,0.00,0.50,12,0.0000,0.2988,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.00,0.00,0.50,12,0.0000,0.3168,1.20,0,irreversibility_dominated,0,1,1
Floquet XXZ,quantum,0.00,0.00,0.50,12,0.0000,0.3109,1.20,0,irreversibility_dominated,0,1,1
